je_id,entry_date,effective_date,period,posted_at,entered_by,approved_by,source,description,line_no,account,account_name,debit,credit
JE-2024-0001,2024-11-06,2024-11-06,2024-11,2024-11-06 09:47:00,asmith,mgr_chen,System,Vendor invoice posting,1,1110,Trade Receivables,11696.23,0.0
JE-2024-0001,2024-11-06,2024-11-06,2024-11,2024-11-06 09:47:00,asmith,mgr_chen,System,Vendor invoice posting,2,5020,Freight Expense,0.0,11696.23
JE-2024-0002,2024-11-27,2024-11-27,2024-11,2024-11-27 15:02:00,asmith,mgr_chen,System,Supplies purchase,1,1310,Inventory - Materials,1445.52,0.0
JE-2024-0002,2024-11-27,2024-11-27,2024-11,2024-11-27 15:02:00,asmith,mgr_chen,System,Supplies purchase,2,5010,COGS - Materials,0.0,1445.52
JE-2024-0003,2024-11-26,2024-11-26,2024-11,2024-11-26 12:45:00,lmartin,mgr_diaz,System,Inventory receipt,1,1010,Cash - Operating,27365.17,0.0
JE-2024-0003,2024-11-26,2024-11-26,2024-11,2024-11-26 12:45:00,lmartin,mgr_diaz,System,Inventory receipt,2,6120,Utilities Expense,0.0,27365.17
JE-2024-0004,2024-11-01,2024-11-01,2024-11,2024-11-01 11:44:00,bwong,mgr_chen,System,Inventory receipt,1,6310,Office Supplies Expense,17865.28,0.0
JE-2024-0004,2024-11-01,2024-11-01,2024-11,2024-11-01 11:44:00,bwong,mgr_chen,System,Inventory receipt,2,5020,Freight Expense,0.0,17865.28
JE-2024-0005,2024-11-05,2024-11-05,2024-11,2024-11-05 15:06:00,bwong,mgr_olsen,System,Customer billing,1,5010,COGS - Materials,15205.34,0.0
JE-2024-0005,2024-11-05,2024-11-05,2024-11,2024-11-05 15:06:00,bwong,mgr_olsen,System,Customer billing,2,1010,Cash - Operating,0.0,15205.34
JE-2024-0006,2024-11-26,2024-11-26,2024-11,2024-11-26 10:59:00,lmartin,mgr_diaz,System,Bank fee posting,1,6310,Office Supplies Expense,16022.74,0.0
JE-2024-0006,2024-11-26,2024-11-26,2024-11,2024-11-26 10:59:00,lmartin,mgr_diaz,System,Bank fee posting,2,6110,Office Rent Expense,0.0,16022.74
